,Facility Name,City,Country,IATA_Code,ICAO_Code,Lat,Lng,Alt(Feet),Hours__from UTC,TimeZone,Type
9688,Banning Municipal Airport,Banning,United States,BNG,KBNG,33.92309952,-116.85099790000001,2219,-8,\N,airport
9689,Gießen-Lützellinden Airport,Giessen,Germany,\N,EDFL,50.54388809,8.590277672000001,755,1,\N,airport
9690,Tököl Airport,Budapest,Hungary,\N,LHTL,47.34529877,18.98080063,318,1,\N,airport
9691,Karl Stefan Memorial Airport,Norfolk  Nebraska,United States,OFK,KOFK,41.98550034,-97.43509674,1573,-6,\N,airport
9693,Windigo Harbor Seaplane Dock,Isle Royale National Park,United States,\N,\N,47.910917,-89.158778,591,-4,\N,airport
9696,Kotido Airport,Kotido,Uganda,\N,HUKO,2.9530000000000003,34.1232,4020,3,\N,airport
9697,Kajjansi Airfield,Kampala,Uganda,\N,HUKJ,0.1968,32.55297,3743,3,\N,airport
9698,Arlington Municipal Airport,Arlington,United States,AWO,KAWO,48.16070175,-122.1589966,142,-8,\N,airport
9699,Paracatu Airport,Paracatu,Brazil,\N,SNZR,-17.24259949,-46.883098600000004,2359,-3,\N,airport
9700,Conselheiro Lafaiete Airport,Conselheiro Lafaiete,Brazil,\N,SNKF,-20.73859978,-43.79740143,3478,-3,\N,airport
9701,Janaúba Airport,Janauba,Brazil,\N,SNAP,-15.73200035,-43.32310104,1732,-3,\N,airport
9702,Juscelino Kubitscheck Airport,Teofilo Otoni,Brazil,TFL,SNTO,-17.89229965,-41.513599400000004,1572,-3,\N,airport
9703,Cristiano Ferreira Varella Airport,Muriae,Brazil,\N,SNBM,-21.12610054,-42.39440155,886,-3,\N,airport
9710,Peter O Knight Airport,Tampa,United States,TPF,KTPF,27.91559982,-82.44930267,8,-5,\N,airport
9720,Taita Hills Airport,Taita Hills,Kenya,\N,\N,-3.5123888999999995,38.2502213,3150,3,\N,airport
9721,Hot Air Safaris Landing Area,Talek,Kenya,\N,\N,-1.499984,35.084914000000005,5150,3,\N,airport
9722,Hot Air Safaris Base,Talek,Kenya,\N,\N,-1.459589,35.226384,5150,3,\N,airport
9727,Lure Malbouhans Air Base,Malbouhans,France,\N,LFYL,47.7047,6.5458300000000005,1040,1,\N,airport
9732,Parati Airport,Paraty,Brazil,\N,SDTK,-23.22439957,-44.72029877,10,-3,\N,airport
9733,Umberto Modiano Airport,Buzios,Brazil,BZC,SBBZ,-22.77099991,-41.96289825,10,-3,\N,airport
9734,Angra dos Reis Airport,Angra dos Reis,Brazil,\N,SDAG,-22.97529984,-44.30709839,10,-3,\N,airport
9735,Itaperuna Airport,Itaperuna,Brazil,ITP,SDUN,-21.21929932,-41.87590027,410,-3,\N,airport
9736,Maricá Airport,Marica,Brazil,\N,SDMC,-22.91950035,-42.83089828,13,-3,\N,airport
9737,Resende Airport,Resende,Brazil,\N,SDRS,-22.47850037,-44.480300899999996,1320,-3,\N,airport
9738,Saquarema Airport,Saquarema,Brazil,\N,SDSK,-22.92972183,-42.50694275,26,-3,\N,airport
9739,Drumheller Municipal Airport,Drumheller,Canada,\N,CEG4,51.49639893,-112.7490005,2597,-7,\N,airport
9748,Maafushivaru Seaplane Dock,Maafushivaru Resort,Maldives,\N,\N,3.6036599999999996,72.89805,0,5,\N,airport
9750,Mwene-Ditu Airport,Mwene-Ditu,Congo (Kinshasa),\N,FZWE,-6.982999802,23.08300018,3198,1,\N,airport
9751,Tunta Airport,Kabinda,Congo (Kinshasa),KBN,FZWT,-6.132999897,24.4829998,2766,1,\N,airport
9752,Ikela Airport,Ikela,Congo (Kinshasa),IKL,FZGV,-1.048109,23.372501,1283,1,\N,airport
9755,Aripuanã Airport,Aripuana,Brazil,AIR,SWRP,-10.250278,-59.383888,623,-4,\N,airport
9756,Juruena Airport,Juruena,Brazil,JRN,SWJU,-10.30583286,-58.48944473,525,-4,\N,airport
9757,Juína Airport,Juina,Brazil,JIA,SWJN,-11.41944408,-58.70166779,1083,-4,\N,airport
9758,Vila Rica Airport,Vila Rica,Brazil,VLP,SWVC,-9.97944355,-51.14222336,892,-4,\N,airport
9759,Inácio Luís do Nascimento Airport,Juara,Brazil,JUA,SIZX,-11.2966,-57.5495,870,-4,\N,airport
9760,Cáceres Airport,Caceres,Brazil,CCX,SWKC,-16.04360008,-57.62990189,492,-4,\N,airport
9761,Posto Leonardo Vilas Boas Airport,Chapada dos Guimaraes,Brazil,\N,SWPL,-12.19833279,-53.38166809,1083,-4,\N,airport
9762,Tangará da Serra Airport,Tangara da Serra,Brazil,\N,SWTS,-14.6619997,-57.44350052,1460,-4,\N,airport
9763,Canarana Airport,Canarana,Brazil,\N,SWEK,-13.57444382,-52.270557399999994,1314,-4,\N,airport
9764,Vila Bela da Santíssima Trindade Airport,Vila Bela da Santissima Trindade ,Brazil,\N,SWVB,-14.9942,-59.9458,660,-4,\N,airport
9765,Bumbar Airport,Bumba,Congo (Kinshasa),BMB,FZFU,2.1827800269999997,22.4817009,0,1,\N,airport
9766,Sobral Airport,Sobral,Brazil,QBX,SNOB,-3.67888999,-40.33679962,210,-3,\N,airport
9767,Arapiraca Airport,Arapiraca,Brazil,APQ,SNAL,-9.775360107000001,-36.62919998,886,-3,\N,airport
9768,Cangapara Airport,Floriano,Brazil,FLB,SNQG,-6.846389771,-43.07730103,689,-3,\N,airport
9769,Picos Airport,Picos,Brazil,PCS,SNPC,-7.0620598789999995,-41.52370071,1050,-3,\N,airport
9770,Centara Seaplane Dock,Centara Resort,Maldives,\N,\N,3.59096,72.88208,0,5,\N,airport
9786,Beni Airport,Beni,Congo (Kinshasa),BNC,FZNP,0.574999988,29.47389984,3517,1,\N,airport
9787,Boende Airport,Boende,Congo (Kinshasa),BNB,FZGN,-0.216999993,20.85000038,1168,1,\N,airport
9797,Perkiomen Valley Airport,Collegeville,United States,N10,\N,40.2040483,-75.43026309999999,277,-5,\N,airport
9800,Montauk Airport,Montauk,United States,MTP,KMTP,41.07649994,-71.92079926,6,-4,\N,airport
9812,Porter County Municipal Airport,Valparaiso IN,United States,VPZ,KVPZ,41.45399857,-87.00710297,770,-5,\N,airport
9814,Dharavandhoo Airport,DHARAVANDHOO,Maldives,DRV,VRMD,5.1561,73.1302,6,5,\N,airport
9815,Saumlaki/Olilit Airport,Saumlaki,Indonesia,SXK,WAPI,-7.988609791,131.3059998,218,9,\N,airport
